Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
1607.286358,105070000,900000,49.1666666666667,1.607286358,105.07,0.9,590
1611.088862,105240000,900000,48.8333333333333,1.611088862,105.24,0.9,586
1613.223839,105280000,900000,48.75,1.613223839,105.28,0.9,585
1608.258411,105090000,900000,49.8333333333333,1.608258411,105.09,0.9,598
1634.986863,106640000,920000,52.1666666666667,1.634986863,106.64,0.92,626
1602.584491,104870000,900000,49.4166666666667,1.602584491,104.87,0.9,593
1602.74628,104660000,900000,49.8333333333333,1.60274628,104.66,0.9,598
1602.996098,104710000,900000,49.1666666666667,1.602996098,104.71,0.9,590
1625.314484,106180000,910000,50.1666666666667,1.625314484,106.18,0.91,602
1627.289885,106290000,910000,49,1.627289885,106.29,0.91,588
1598.371931,104360000,900000,49.9166666666667,1.598371931,104.36,0.9,599
1603.42292,104760000,900000,49.3333333333333,1.60342292,104.76,0.9,592
1609.005896,104970000,900000,48.8333333333333,1.609005896,104.97,0.9,586
1606.039815,104930000,900000,49,1.606039815,104.93,0.9,588
1596.80023,104230000,890000,48.25,1.59680023,104.23,0.89,579
1618.691202,105820000,910000,49.5833333333333,1.618691202,105.82,0.91,595
1611.692323,105270000,900000,49.0833333333333,1.611692323,105.27,0.9,589
1601.929542,104600000,900000,50,1.601929542,104.6,0.9,600
1608.967425,105060000,900000,49.8333333333333,1.608967425,105.06,0.9,598
1611.244031,105250000,900000,49.5833333333333,1.611244031,105.25,0.9,595
1619.259175,105750000,910000,49.1666666666667,1.619259175,105.75,0.91,590
1627.982417,106390000,910000,50,1.627982417,106.39,0.91,600
1618.01288,105560000,910000,50.75,1.61801288,105.56,0.91,609
1599.672734,104540000,900000,49.6666666666667,1.599672734,104.54,0.9,596
1604.43013,104710000,900000,49.8333333333333,1.60443013,104.71,0.9,598
1621.75491,106030000,910000,49.25,1.62175491,106.03,0.91,591
1612.484178,105490000,900000,49.5,1.612484178,105.49,0.9,594
1613.422158,105140000,900000,49,1.613422158,105.14,0.9,588
1606.198907,105030000,900000,49.1666666666667,1.606198907,105.03,0.9,590
1605.719191,104940000,900000,49.8333333333333,1.605719191,104.94,0.9,598
1610.884318,105130000,900000,50.1666666666667,1.610884318,105.13,0.9,602
1599.817371,104490000,900000,48.8333333333333,1.599817371,104.49,0.9,586
1623.475152,106150000,910000,49.6666666666667,1.623475152,106.15,0.91,596
1615.982709,105520000,900000,49.5,1.615982709,105.52,0.9,594
1634.535975,106850000,920000,49,1.634535975,106.85,0.92,588
1605.925981,104780000,900000,50,1.605925981,104.78,0.9,600
1606.934384,104950000,900000,49.1666666666667,1.606934384,104.95,0.9,590
1619.887762,105800000,910000,50.25,1.619887762,105.8,0.91,603
1595.972398,104170000,890000,48.9166666666667,1.595972398,104.17,0.89,587
1610.149946,105100000,900000,48.25,1.610149946,105.1,0.9,579
1614.752092,105560000,900000,49.5,1.614752092,105.56,0.9,594
1595.63143,104120000,890000,50,1.59563143,104.12,0.89,600
1614.684557,105410000,900000,50.0833333333333,1.614684557,105.41,0.9,601
1595.806254,104250000,890000,49.8333333333333,1.595806254,104.25,0.89,598
1613.739502,105380000,900000,49.8333333333333,1.613739502,105.38,0.9,598
1613.744546,105380000,900000,49.5,1.613744546,105.38,0.9,594
1606.493681,104950000,900000,49.0833333333333,1.606493681,104.95,0.9,589
1615.670759,105550000,900000,49.1666666666667,1.615670759,105.55,0.9,590
1596.233956,104260000,890000,49.4166666666667,1.596233956,104.26,0.89,593
1629.109609,106430000,910000,49.5833333333333,1.629109609,106.43,0.91,595
1613.335473,105370000,900000,49.6666666666667,1.613335473,105.37,0.9,596
1617.67034,105690000,910000,49.3333333333333,1.61767034,105.69,0.91,592
1621.347022,105840000,910000,49.1666666666667,1.621347022,105.84,0.91,590
1608.634455,105020000,900000,49.5,1.608634455,105.02,0.9,594
1603.628535,104680000,900000,49.8333333333333,1.603628535,104.68,0.9,598
1598.046048,104560000,890000,49.1666666666667,1.598046048,104.56,0.89,590
