Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
4007.728229,156820000,2360000,40,4.007728229,156.82,2.36,480
3992.622382,153680000,2350000,29.0833333333333,3.992622382,153.68,2.35,349
4026.002407,157600000,2380000,39.8333333333333,4.026002407,157.6,2.38,478
3993.816938,153760000,2360000,29.8333333333333,3.993816938,153.76,2.36,358
4021.018721,158280000,2380000,28.6666666666667,4.021018721,158.28,2.38,344
4000.144648,155830000,2360000,40,4.000144648,155.83,2.36,480
4002.658042,155140000,2360000,50.3333333333333,4.002658042,155.14,2.36,604
3998.30989,156290000,2350000,18.1666666666667,3.99830989,156.29,2.35,218
3998.894589,154400000,2350000,18.8333333333333,3.998894589,154.4,2.35,226
4017.632129,156880000,2370000,39.6666666666667,4.017632129,156.88,2.37,476
4008.505187,156520000,2360000,29.25,4.008505187,156.52,2.36,351
4004.776454,156120000,2360000,39.4166666666667,4.004776454,156.12,2.36,473
4003.63395,157140000,2370000,34.75,4.00363395,157.14,2.37,417
4003.186428,155230000,2360000,50,4.003186428,155.23,2.36,600
4030.273598,155710000,2390000,29.25,4.030273598,155.71,2.39,351
3996.284835,155730000,2360000,40.0833333333333,3.996284835,155.73,2.36,481
4001.57404,154810000,2350000,39.9166666666667,4.00157404,154.81,2.35,479
4008.785537,157340000,2370000,7.58333333333333,4.008785537,157.34,2.37,91
4017.627825,156430000,2370000,10,4.017627825,156.43,2.37,120
4004.608395,157040000,2360000,28.8333333333333,4.004608395,157.04,2.36,346
4001.186406,157240000,2360000,18.1666666666667,4.001186406,157.24,2.36,218
4058.834377,155670000,2390000,40.25,4.058834377,155.67,2.39,483
3997.187364,155130000,2360000,29.1666666666667,3.997187364,155.13,2.36,350
4001.485487,154300000,2360000,19.1666666666667,4.001485487,154.3,2.36,230
4027.697575,156440000,2390000,29.1666666666667,4.027697575,156.44,2.39,350
3999.970794,155090000,2350000,29.3333333333333,3.999970794,155.09,2.35,352
4012.662832,154080000,2370000,30.1666666666667,4.012662832,154.08,2.37,362
3995.767723,152760000,2360000,34.8333333333333,3.995767723,152.76,2.36,418
3989.681466,152890000,2350000,29.6666666666667,3.989681466,152.89,2.35,356
4016.030554,157840000,2380000,39.5,4.016030554,157.84,2.38,474
4013.869457,156000000,2370000,40,4.013869457,156,2.37,480
4044.451364,157880000,2400000,39.1666666666667,4.044451364,157.88,2.4,470
4006.777435,155450000,2370000,26.25,4.006777435,155.45,2.37,315
4034.787889,156220000,2390000,40,4.034787889,156.22,2.39,480
4008.33997,154600000,2360000,21.0833333333333,4.00833997,154.6,2.36,253
